"","%IncMSE","IncNodePurity"
"HOSPITALIZATION",3.23314405094993,29429.0526076047
"ORDINAL_AGE",0.305240399359121,5012.23187892835
"ELECTIVE",0.191690978259395,1835.32570296392
"EMERGENCY",0.228630900907381,1620.93251548768
"NEWBORN",0,0.792479876963489
"URGENT",0.0943458778402859,1676.41507342665
"Government",0.00123620398033306,320.536326002547
"Medicaid",-0.029199136051568,2072.10112659078
"Medicare",0.17131381206672,1549.21128085006
"Private",0.204473992997767,1781.14846045669
"Self.Pay",-0.00374605067380904,193.301369096939
"DIVORCED",0.00813799726256531,954.676468772792
"LIFE.PARTNER",0,1.69522634028981
"MARRIED",0.0507760291728127,1715.11265983455
"NAN",-0.00774838025921876,558.662921197011
"SEPARATED",-0.0112564616189466,448.511400094753
"SINGLE",-0.0428076232524181,1405.70841207268
"UNKNOWN",0.00400691717567754,572.005481436766
"WIDOWED",0.0996021174217312,988.705308121568
"GENDER",0.0198447185528233,1722.32500709017
"X3",0,1.04768690193187
"X4",0,0.103576719896429
"X5",0,8.26531901073888
"X7",0,58.8209777386021
"X8",0.401887462963974,6641.47321411346
"X9",0.000618411540985729,18.39814356708
"X10",0,609.665451394973
"X11",0.00278589510857055,83.1407662004327
"X12",0,14.5081448752072
"X13",2.96182069725899e-05,2.54467758375119
"X14",0,2.78825417719033
"X18",0.00387180549143007,639.431795059391
"X27",0.000215271651905309,49.7331766730304
"X31",-2.89379215306554e-05,10.8571753466311
"X32",6.42888934434101e-05,6.08784083465675
"X34",0,0.356356014505564
"X35",0,0.541161733619963
"X38",2.11738147927239,15493.338264217
"X39",4.68020568925754e-06,172.489715250341
"X40",0.000518249064963447,87.6937650622971
"X41",0.411632638449178,6968.12128101715
"X42",0.00826408122295437,356.749356338791
"X46",0,413.348368029569
"X47",-0.00367783798737691,57.8130781862655
"X48",0,0.193569197408029
"X49",1.43200527868604e-05,2.29395624651202
"X52",0.00275500290228209,115.394942443765
"X53",-0.00519742339543474,130.343444809085
"X54",0.074603442799225,1766.9204379274
"X57",0,0.166640783691869
"X58",0,5.61354999804859
"X66",0,0.475567678361615
"X70",-0.0202501344573246,923.821578936125
"X75",0,1.31989263963615
"X78",0.0146166521119066,527.926282950082
"X79",0.00541740684247492,416.001574918613
"X82",0,0.467051942386878
"X86",0,0.324678483933785
"X88",-8.37333811033624e-05,13.5515928456853
"X94",4.35500847829829e-05,22.0131875712502
"X96",0,0.206997351250028
"X97",0,9.9040474964803
"X110",0.00515955664242317,816.370208319234
"X111",0.000137718865596098,16.6791567662115
"X112",0.721097520035912,9438.82984198524
"X117",0.107812725440172,2901.00893292299
"X120",0,1.22249521824219
"X121",0,0.402694577536142
"X127",0.000166589421645554,106.512227399935
"X130",1.04912794747844e-05,0.89119409496729
"X131",0,0.752622668860299
"X135",0.0174248790312528,407.630945358101
"X136",0.00278118857498796,154.429777363706
"X137",0,4.30305458219741
"X138",0.00263162959332172,130.666520694246
"X139",0,3.57332404179048
"X140",1.10478904368101e-06,5.98901838017296
"X141",0,1.70514827947263
"X142",0,0.0279945824639003
"X144",-0.00016375009908857,9.46473470257307
"X145",-8.13002527483895e-06,1.86260461544963
"X146",0,0.313081616248123
"X147",0,1.06951097535575
"X148",2.95976856821635e-05,2.46400211288247
"X149",0,1.06679964284886
"X150",0.000675482340349639,59.1976323562341
"X151",0.0040535407456485,141.469835904636
"X152",-2.42237452908468e-05,3.00297184720567
"X153",-0.00677701888910021,168.547164329771
"X154",0.000397323090630553,26.1748834133198
"X155",-0.00294062087386441,371.587111143412
"X156",-0.00292284800035696,84.4170092695197
"X157",0.00473346105980751,94.3481302776229
"X158",7.0417859843304e-06,1.52172935289532
"X159",0,1.13651314023725
"X161",-0.000168289069991531,12.7356647357093
"X162",-0.00424430333762854,502.65802030905
"X163",8.73916457301014e-07,1.67915268976131
"X164",0,9.71863630534216
"X171",-1.48795496805598e-07,4.96462085833795
"X172",5.76522310049651e-05,21.6984732063273
"X173",-0.00368492065957839,107.245694010186
"X174",-0.00144439551793301,184.932329604254
"X175",0,1.37411534006524
"X176",0,0.10184480514902
"X180",0,0.0146592692348149
"X182",0.000129702494277724,17.2109086667098
"X183",0.000377403049978375,21.4638912682493
"X184",2.03162835480735e-05,16.7178768120738
"X185",-0.00299146522863261,71.7061727585925
"X186",0,0.400060564061574
"X187",-8.46936240249492e-05,9.95773827098895
"X188",0.00283883932716294,37.7249440125607
"X189",-0.000989464049956046,123.302190082657
"X191",-0.000548302821218618,51.2451811078534
"X192",2.50141725087143e-05,0.387173072740384
"X193",0.000465702309087595,240.404371605999
"X194",0,4.46470314269598
"X195",-1.58171173863981e-05,3.53045849637934
"X196",0.00476451996210832,140.101610280299
"X197",0.0244381813694703,544.05658405854
"X198",0.0119591569626452,311.975260465831
"X199",0.00328197625414181,44.0013100934271
"X200",0.00174720848947545,73.1287546671224
"X201",-0.00121933177217731,27.2435017766648
"X202",0.00106506372518495,148.792901660686
"X203",0.0107320837252069,207.041274077667
"X204",-0.00186979035308413,127.133901507823
"X205",-0.00349243387544212,216.270888717592
"X207",0,1.26228756251143
"X208",-1.66557222893273e-05,0.629109161407049
"X209",-5.47585777343902e-05,17.5733278290205
"X210",-1.17793541451539e-06,15.2465640524986
"X211",0.0096499826805517,377.483323775026
"X212",-0.00309896628582652,97.4700226072505
"X213",0,0.503028447193466
"X214",0.000114183402290911,17.8974261870998
"X215",0.000501874822574854,99.5237770320127
"X216",4.30321614813094e-06,4.84292734996421
"X217",0,0.330772122702562
"X218",0.000492387818334017,21.4006678674935
"X220",0.000137174958895718,6.81943627554782
"X221",0,1.27443452797771
"X223",0,0.47314942346799
"X225",-0.000653847726193011,70.1886576217457
"X226",0,0.657296428963272
"X227",-0.000360824203542229,90.6274806742777
"X228",-0.000250030430733265,60.5501465083929
"X229",0,1.02127272936934
"X230",-5.52641677617429e-05,8.36518722822641
"X232",0,1.87779393476702
"X233",0.000157444768342521,26.4347145804213
"X235",-0.000249965363399004,14.6313623414648
"X236",0,2.97642416722431
"X237",-0.00057528834435584,57.0450167666379
"X238",-0.0253257319358771,577.604658729556
"X239",-0.00522412776915108,113.333054362239
"X240",-0.000256253488213873,241.884453731484
"X241",0.000453946649507093,269.909654106623
"X242",-0.000963288057232922,761.671704368447
"X244",0.0164770874460805,1707.17201842137
"X245",0.0126012263265382,631.391517071606
"X246",0.00311708164859095,33.1008933739813
"X249",0.0076073074945299,369.637184966844
"X250",0,0
"X251",0.0435085629615933,973.23716542901
"X252",0.000988208463269357,257.04158359968
"X253",0.0135837183350468,1417.40625467023
"X254",2.83028315150399e-05,18.5005452111238
"X255",0.0422623995975806,2738.05652649128
"X256",5.86954990805979e-07,2.03256793701942
"X257",0.00155936143995988,839.504255269611
"X258",0.000750140724236553,15.8625966763197
"X259",6.68586557785129e-05,6.23459335968744
"X261",0.012081970679825,313.567387125992
"X262",0.0045096281492186,59.7508506810332
"X263",0.179479548029907,4935.03947248344
"X265",0.000215999770406832,112.307649410031
"X266",-0.00466998264242815,201.665735483502
"X268",-0.00285954052548956,176.81869314372
"X269",0.00255681268661512,35.2916985021894
"X270",3.57374627141126e-05,9.46176982408789
"X271",-0.000382003717275591,39.8910446219216
"X272",0.0706251423691726,1624.45445772499
"X273",-0.000667311425209445,563.515002687713
"X274",0.0217757223966009,911.277525362455
"X275",0.00946355628372556,1751.1047793313
"X276",0.39070923624925,6008.70958636531
"X277",-0.00465369187557189,119.599951126713
"X278",0.0573747550328865,1625.03244328831
"X279",-0.000160627354028422,250.473226547231
"X280",-0.00289889826495035,2184.33830239875
"X281",-0.00371881244395503,163.526199524652
"X282",-0.00819418331546163,340.803007952949
"X283",0.0056297007019541,325.666110843148
"X284",0.090975614473375,1926.10187350759
"X285",0.277063895650753,4653.8618878455
"X286",0.132413397082919,3363.14664239337
"X287",0.195327812700434,3933.41606737547
"X288",0.0130245682072217,857.115936684704
"X289",0.0299910296687861,1075.62738048966
"X290",-0.0158842290829359,409.843427655257
"X291",0.0385272823784292,552.669862684768
"X292",-0.00664421607563437,349.138548317417
"X293",0.0301174519209272,2405.01159521407
"X294",0.00260608390945205,648.454581834522
"X295",0.0111756139871845,576.706670861441
"X296",-0.007746617758764,592.963331474918
"X297",0.00145309751114506,31.8101207166704
"X298",-0.000284536367819917,42.4187763086985
"X299",-0.00146629009189133,24.4854162346311
"X300",-0.0471871960925488,1096.79796574708
"X301",0.00156382551886868,133.160594180068
"X303",0.00633515354770232,904.170916479698
"X304",0.0236575610039162,794.187403965349
"X305",0.00907070339607116,1154.6673197237
"X306",-0.000462945836767458,43.9582742480677
"X307",0.00748063861698275,213.777617745431
"X308",0.000252821273867601,19.4651691771614
"X309",0.024127206139151,589.948341631723
"X310",-0.000603569364501082,34.6037111178482
"X311",-0.0196952033372981,1054.63731340399
"X312",-9.30757551315013e-05,108.298187066223
"X313",0,1.09823129141478
"X314",-0.00131688027182757,47.2032906635549
"X315",0.000429073896907775,18.8424880005265
"X317",-0.00697801209000625,158.095475219106
"X318",-1.78864570252882e-05,30.9627830423884
"X319",-0.00575931264954878,664.552685259443
"X320",0.00571777308262075,424.356491690678
"X321",0.00479485728338952,857.113932543313
"X322",0.0144566422391356,356.8042009417
"X323",-0.000775290486602029,54.5710390980157
"X324",0.0390295756621257,592.676617847863
"X325",-0.00100616606805978,64.7796438043593
"X327",-0.0149738916092578,1689.00521799697
"X331",0.0373257872154683,1075.35157612187
"X332",-0.00354901043639185,348.233349943462
"X333",0.000931373044469597,1045.00864557426
"X334",-6.17782554611475e-05,5.83040219861836
"X335",-0.000129948812697753,8.90542543466533
"X336",0.00677591701320443,1159.4522632508
"X337",-0.0290755438759037,620.371847718223
"X338",0.0139784590345558,653.227318808922
"X339",-8.97953502253034e-07,11.028892900865
"X340",0.0128075953419638,234.744174242917
"X341",-3.53769513213515e-05,13.5312262697118
